loctype,location,long,lat
H,ID 1,24.8824,36.0665
H,ID 1,24.8825,36.0664
H,ID 1,24.8825,36.0665
H,ID 1,24.8826,36.0664
H,ID 1,24.8826,36.0665
H,ID 1,24.8826,36.0666
H,ID 1,24.8826,36.0667
H,ID 1,24.8827,36.0664
H,ID 1,24.8827,36.0665
H,ID 10,24.8659,36.0767
H,ID 10,24.8659,36.0768
H,ID 10,24.8659,36.0769
H,ID 11,24.8589,36.0841
H,ID 11,24.859,36.084
H,ID 11,24.859,36.0841
H,ID 11,24.859,36.0842
H,ID 11,24.8591,36.0841
H,ID 11,24.8591,36.0842
H,ID 12,24.8991,36.0677
H,ID 12,24.8991,36.0678
H,ID 12,24.8991,36.0679
H,ID 12,24.8992,36.0676
H,ID 12,24.8992,36.0677
H,ID 12,24.8992,36.0678
H,ID 13/15/16/21,24.9052,36.0597
H,ID 13/15/16/21,24.9053,36.0605
H,ID 13/15/16/21,24.9055,36.0602
H,ID 13/15/16/21,24.9055,36.0603
H,ID 13/15/16/21,24.9055,36.0604
H,ID 13/15/16/21,24.9056,36.0603
H,ID 13/15/16/21,24.9056,36.0604
H,ID 13/15/16/21,24.9057,36.0603
H,ID 13/15/16/21,24.9057,36.0604
H,ID 14,24.896,36.0633
H,ID 14,24.896,36.0634
H,ID 14,24.8961,36.0633
H,ID 14,24.8961,36.0634
H,ID 14,24.8962,36.0633
H,ID 14,24.8962,36.0634
H,ID 14,24.8964,36.0633
H,ID 17/24/33,24.8986,36.0622
H,ID 17/24/33,24.8987,36.0623
H,ID 17/24/33,24.8987,36.0624
H,ID 17/24/33,24.8987,36.0625
H,ID 17/24/33,24.8988,36.0624
H,ID 17/24/33,24.8988,36.0625
H,ID 17/24/33,24.8989,36.0624
H,ID 17/24/33,24.8989,36.0625
H,ID 18,24.8963,36.0633
H,ID 18,24.8966,36.0633
H,ID 19,24.8562,36.0878
H,ID 19,24.8562,36.0879
H,ID 19,24.8563,36.0878
H,ID 19,24.8563,36.0879
H,ID 19,24.8564,36.0878
H,ID 19,24.8564,36.0879
H,ID 2,24.8603,36.0855
H,ID 2,24.8604,36.0852
H,ID 2,24.8604,36.0853
H,ID 2,24.8604,36.0854
H,ID 2,24.8604,36.0855
H,ID 2,24.8605,36.0854
H,ID 2,24.8605,36.0855
H,ID 20,24.901,36.0658
H,ID 20,24.901,36.0659
H,ID 20,24.9011,36.0657
H,ID 20,24.9011,36.0658
H,ID 20,24.9011,36.0659
H,ID 22/23/30,24.9004,36.0587
H,ID 22/23/30,24.9009,36.0584
H,ID 22/23/30,24.9009,36.0585
H,ID 22/23/30,24.901,36.0584
H,ID 22/23/30,24.901,36.0585
H,ID 22/23/30,24.901,36.059
H,ID 22/23/30,24.9011,36.0584
H,ID 22/23/30,24.9011,36.0585
H,ID 22/23/30,24.9012,36.0584
H,ID 22/23/30,24.9012,36.0585
H,ID 22/23/30,24.9013,36.0584
H,ID 26,24.884,36.0728
H,ID 26,24.884,36.0729
H,ID 26,24.884,36.073
H,ID 26,24.8841,36.0727
H,ID 26,24.8841,36.0729
H,ID 26,24.8841,36.073
H,ID 26,24.8841,36.073
H,ID 27,24.8841,36.0692
H,ID 27,24.8842,36.0691
H,ID 27,24.8842,36.0692
H,ID 27,24.8842,36.0693
H,ID 27,24.8843,36.0692
H,ID 27,24.8843,36.0693
H,ID 28,24.8766,36.0726
H,ID 3,24.8575,36.0867
H,ID 3,24.8576,36.0866
H,ID 3,24.8576,36.0867
H,ID 3,24.8577,36.0866
H,ID 3,24.8577,36.0867
H,ID 32,24.8746,36.0721
H,ID 32,24.8746,36.0722
H,ID 34,24.9024,36.0676
H,ID 34,24.9024,36.0677
H,ID 34,24.9025,36.0676
H,ID 34,24.9025,36.0677
H,ID 34,24.9025,36.0678
H,ID 34,24.9026,36.0676
H,ID 34,24.9026,36.0677
H,ID 35,24.8745,36.0762
H,ID 35,24.8746,36.0762
H,ID 35,24.8746,36.0763
H,ID 35,24.8747,36.0762
H,ID 35,24.8747,36.0763
H,ID 4,24.872,36.0782
H,ID 4,24.8721,36.0782
H,ID 4,24.8722,36.0782
H,ID 5,24.8778,36.0673
H,ID 5,24.8779,36.0672
H,ID 5,24.8779,36.0673
H,ID 5,24.8779,36.0674
H,ID 5,24.878,36.0672
H,ID 5,24.878,36.0673
H,ID 5,24.878,36.0674
H,ID 5,24.878,36.0668
H,ID 6/25/29,24.8945,36.0596
H,ID 6/25/29,24.8947,36.0593
H,ID 6/25/29,24.8947,36.0594
H,ID 6/25/29,24.8947,36.0595
H,ID 6/25/29,24.8948,36.0594
H,ID 6/25/29,24.8948,36.0595
H,ID 6/25/29,24.8949,36.0594
H,ID 6/25/29,24.8949,36.0595
H,ID 6/25/29,24.895,36.0594
H,ID 7,24.864,36.0844
H,ID 7,24.8641,36.0844
H,ID 7,24.8642,36.0843
H,ID 7,24.8642,36.0844
H,ID 7,24.8642,36.0845
H,ID 8,24.8859,36.0671
H,ID 8,24.8859,36.0672
H,ID 8,24.8859,36.0673
H,ID 8,24.886,36.0672
H,ID 8,24.886,36.0673
H,ID 9,24.8561,36.0837
N,Abila Park,24.8494,36.0529
N,Abila Park,24.8494,36.053
N,Abila Park,24.8495,36.0529
N,Near Been,24.8468,36.0806
N,Near Been,24.8468,36.0807
N,Near Been,24.8469,36.0806
N,Near Been,24.8469,36.0807
N,Near Frank,24.8415,36.0694
N,Near Frank,24.8415,36.0695
N,Near Frank,24.8416,36.0695
N,Near Frydo,24.9,36.0632
N,Near Frydo,24.9,36.0633
N,Near Frydo,24.9001,36.0631
N,Near Frydo,24.9001,36.0632
N,Near Frydo,24.9002,36.0631
N,Near Frydo,24.9002,36.0632
N,Near Guy,24.8927,36.059
N,Near Guy,24.8928,36.0589
N,Near Guy,24.8928,36.059
N,Near Guy,24.8929,36.0589
N,Near Guy,24.8929,36.059
N,Near Port,24.9004,36.0501
N,Near Port,24.9004,36.0502
N,Near Port,24.9005,36.0501
N,Near Port,24.9005,36.0502
O,GASTech,24.8796,36.048
O,GASTech,24.8796,36.0481
O,GASTech,24.8796,36.0482
I,Abila Scrapyard,24.8459,36.0744
I,Abila Scrapyard,24.846,36.0743
I,Abila Scrapyard,24.846,36.0744
T,Abila Zacharo,24.8509,36.0634
T,Abila Zacharo,24.851,36.0632
T,Abila Zacharo,24.851,36.0633
T,Abila Zacharo,24.851,36.0634
T,Abila Zacharo,24.851,36.0635
T,Ahaggo Museum,24.8762,36.077
