"id","trip","count","timestamp","lat","long","Type","Location"
"1","1",79,2014-01-06 07:20:01,36.0665,24.8826,"H","ID 1"
"1","1",79,2014-01-06 07:22:04,36.0637,24.8859,"P","Hallowed Grounds"
"1","11",181,2014-01-07 01:10:01,36.048,24.8796,"O","GASTech"
"1","11",181,2014-01-07 01:14:02,36.0664,24.8826,"H","ID 1"
"1","13",75,2014-01-07 07:20:01,36.0665,24.8826,"H","ID 1"
"1","13",75,2014-01-07 07:22:04,36.0637,24.8859,"P","Hallowed Grounds"
"1","14",324,2014-01-07 07:56:01,36.0636,24.8859,"P","Hallowed Grounds"
"1","14",324,2014-01-07 08:03:09,36.048,24.8796,"O","GASTech"
"1","15",250,2014-01-07 12:09:01,36.048,24.8796,"O","GASTech"
"1","15",250,2014-01-07 12:15:16,36.0597,24.8581,"P","Gelatogalore"
"1","16",282,2014-01-07 13:43:01,36.0597,24.858,"P","Gelatogalore"
"1","16",282,2014-01-07 13:49:16,36.048,24.8796,"O","GASTech"
"1","17",184,2014-01-07 17:40:01,36.048,24.8796,"O","GASTech"
"1","17",184,2014-01-07 17:44:03,36.0665,24.8826,"H","ID 1"
"1","18",196,2014-01-07 18:51:01,36.0665,24.8826,"H","ID 1"
"1","18",196,2014-01-07 18:55:52,36.052,24.8708,"P","Ouzeri Elian"
"1","19",208,2014-01-07 20:42:01,36.0519,24.8709,"P","Ouzeri Elian"
"1","19",208,2014-01-07 20:46:51,36.0665,24.8826,"H","ID 1"
"1","2",326,2014-01-06 07:57:01,36.0637,24.8859,"P","Hallowed Grounds"
"1","2",326,2014-01-06 08:04:09,36.048,24.8796,"O","GASTech"
"1","21",63,2014-01-08 07:47:01,36.0664,24.8827,"H","ID 1"
"1","21",63,2014-01-08 07:49:04,36.0637,24.8859,"P","Hallowed Grounds"
"1","22",349,2014-01-08 08:00:01,36.0636,24.8859,"P","Hallowed Grounds"
"1","22",349,2014-01-08 08:07:09,36.048,24.8796,"O","GASTech"
"1","23",439,2014-01-08 12:08:01,36.048,24.8796,"O","GASTech"
"1","23",439,2014-01-08 12:17:27,36.0766,24.8576,"P","Hippokampos"
"1","24",449,2014-01-08 13:48:01,36.0767,24.8576,"P","Hippokampos"
"1","24",449,2014-01-08 13:57:27,36.048,24.8796,"O","GASTech"
"1","25",193,2014-01-08 17:51:01,36.048,24.8796,"O","GASTech"
"1","25",193,2014-01-08 17:55:03,36.0665,24.8826,"H","ID 1"
"1","26",202,2014-01-08 19:18:01,36.0665,24.8826,"H","ID 1"
"1","26",202,2014-01-08 19:22:52,36.052,24.8708,"P","Ouzeri Elian"
"1","27",102,2014-01-08 21:22:01,36.0519,24.8709,"P","Ouzeri Elian"
"1","27",102,2014-01-08 21:29:01,36.048,24.8796,"O","GASTech"
"1","28",191,2014-01-08 23:53:01,36.048,24.8796,"O","GASTech"
"1","28",191,2014-01-08 23:57:02,36.0665,24.8826,"H","ID 1"
"1","3",449,2014-01-06 12:17:01,36.048,24.8796,"O","GASTech"
"1","3",449,2014-01-06 12:26:27,36.0767,24.8576,"P","Hippokampos"
"1","30",67,2014-01-09 07:21:01,36.0665,24.8826,"H","ID 1"
"1","30",67,2014-01-09 07:23:04,36.0636,24.8859,"P","Hallowed Grounds"
"1","31",332,2014-01-09 07:51:01,36.0637,24.8859,"P","Hallowed Grounds"
"1","31",332,2014-01-09 07:58:09,36.048,24.8796,"O","GASTech"
"1","32",321,2014-01-09 12:09:01,36.048,24.8796,"O","GASTech"
"1","32",321,2014-01-09 12:17:17,36.0635,24.851,"P","Abila Zacharo"
"1","33",340,2014-01-09 13:45:01,36.0634,24.851,"P","Abila Zacharo"
"1","33",340,2014-01-09 13:53:17,36.048,24.8796,"O","GASTech"
"1","34",186,2014-01-09 17:48:01,36.048,24.8796,"O","GASTech"
"1","34",186,2014-01-09 17:52:03,36.0665,24.8826,"H","ID 1"
"1","35",72,2014-01-10 07:50:01,36.0665,24.8827,"H","ID 1"
"1","35",72,2014-01-10 07:52:04,36.0637,24.8859,"P","Hallowed Grounds"
"1","36",338,2014-01-10 08:08:01,36.0637,24.8859,"P","Hallowed Grounds"
"1","36",338,2014-01-10 08:15:09,36.048,24.8796,"O","GASTech"
"1","37",111,2014-01-10 12:21:01,36.048,24.8796,"O","GASTech"
"1","37",111,2014-01-10 12:23:05,36.0519,24.8708,"P","Ouzeri Elian"
"1","38",102,2014-01-10 13:21:01,36.0519,24.8709,"P","Ouzeri Elian"
"1","38",102,2014-01-10 13:23:05,36.048,24.8796,"O","GASTech"
"1","39",182,2014-01-10 17:34:01,36.048,24.8796,"O","GASTech"
"1","39",182,2014-01-10 17:38:03,36.0665,24.8826,"H","ID 1"
"1","4",453,2014-01-06 13:25:01,36.0767,24.8576,"P","Hippokampos"
"1","4",453,2014-01-06 13:34:27,36.048,24.8796,"O","GASTech"
"1","40",355,2014-01-10 19:10:01,36.0664,24.8826,"H","ID 1"
"1","40",355,2014-01-10 19:20:01,36.0855,24.8604,"H","ID 2"
"1","41",340,2014-01-10 23:32:01,36.0854,24.8604,"H","ID 2"
"1","41",340,2014-01-10 23:39:32,36.0665,24.8826,"H","ID 1"
"1","42",292,2014-01-11 12:40:01,36.0665,24.8826,"H","ID 1"
"1","42",292,2014-01-11 12:46:30,36.0767,24.8576,"P","Hippokampos"
"1","43",27,2014-01-11 13:41:01,36.0765,24.8576,"P","Hippokampos"
"1","43",27,2014-01-11 13:41:32,36.0753,24.8563,"P","Albert Clothing"
"1","44",305,2014-01-11 15:36:01,36.0752,24.8563,"P","Albert Clothing"
"1","44",305,2014-01-11 15:42:29,36.0665,24.8826,"H","ID 1"
"1","46",228,2014-01-11 18:42:01,36.0664,24.8825,"H","ID 1"
"1","46",228,2014-01-11 18:47:07,36.0529,24.8686,"P","Shoppers Delight"
"1","47",217,2014-01-11 19:47:01,36.0528,24.8686,"P","Shoppers Delight"
"1","47",217,2014-01-11 19:52:07,36.0665,24.8826,"H","ID 1"
"1","48",297,2014-01-12 12:45:01,36.0664,24.8826,"H","ID 1"
"1","48",297,2014-01-12 12:51:30,36.0766,24.8576,"P","Hippokampos"
"1","49",292,2014-01-12 14:11:01,36.0767,24.8576,"P","Hippokampos"
"1","49",292,2014-01-12 14:17:26,36.0665,24.8824,"H","ID 1"
"1","5",177,2014-01-06 17:44:01,36.048,24.8796,"O","GASTech"
"1","5",177,2014-01-06 17:48:03,36.0665,24.8826,"H","ID 1"
"1","51",72,2014-01-13 07:36:01,36.0664,24.8826,"H","ID 1"
"1","51",72,2014-01-13 07:38:04,36.0637,24.8859,"P","Hallowed Grounds"
"1","52",313,2014-01-13 08:11:01,36.0637,24.8859,"P","Hallowed Grounds"
"1","52",313,2014-01-13 08:18:09,36.048,24.8796,"O","GASTech"
"1","53",440,2014-01-13 12:15:01,36.048,24.8796,"O","GASTech"
"1","53",440,2014-01-13 12:24:27,36.0767,24.8576,"P","Hippokampos"
"1","54",438,2014-01-13 13:35:01,36.0767,24.8576,"P","Hippokampos"
"1","54",438,2014-01-13 13:44:27,36.048,24.8796,"O","GASTech"
"1","55",178,2014-01-13 17:30:01,36.048,24.8796,"O","GASTech"
"1","55",178,2014-01-13 17:34:03,36.0665,24.8826,"H","ID 1"
"1","56",203,2014-01-13 18:45:01,36.0665,24.8826,"H","ID 1"
